id;"team_name";"buff_1";"alias";"nickname";"buff_2";"buff_3";"dob";"hometown";"region_code";"user_id";"picture";"picture_small";"address";"postcode";"city";"state";"country";"description";"checked_out";"checked_out_time";"params";"class";"avatar";"group_link";"status";"roster_link"
14;"Hicksville Hicks";;"hicksville-hicks";"Hicks";;;"0000-00-00";"Hicksville";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/14-hicksville-hicks";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Hicksville Hicks"
15;"Rockville Centre Woodlanders";;"rockville-centre-woodlanders";"Woodlanders";;;"0000-00-00";"Rockville Centre";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/15-rockville-centre-woodlanders";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Rockville Centre Woodlanders"
16;"Oyster Bay Teddy`s Boys";;"oyster-bay-teddys-boys";"Teddy`s Boys";;;"0000-00-00";"Oyster Bay";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/16-oyster-bay-teddy039s-boys";"Active";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Oyster Bay Teddy&#039;s Boys"
17;"New Hyde Park Termites";;"new-hyde-park-termites";"Termites";;;"0000-00-00";"New Hyde Park";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/17-new-hyde-park-termites";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=New Hyde Park Termites"
18;"Levittown Rebels";;"levittown-rebels";"Rebels";;;"0000-00-00";"Levittown";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/18-levittown-rebels";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Levittown Rebels"
19;"Baldwin Tomcats";;"baldwin-tomcats";"Tomcats";;;"0000-00-00";"Baldwin";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/19-baldwin-tomcats";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Baldwin Tomcats"
20;"Sheridan Park All Thumbs";;"sheridan-park-all-thumbs";"All Thumbs";;;"0000-00-00";"Sheridan Park";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/20-sheridan-park-all-thumbs";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Sheridan Park All Thumbs"
21;"Henrietta Ol` Henries";;"henrietta-ol-henries";"Ol' Henries";;;"0000-00-00";"Henrietta";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/21-henrietta-ol039-henries";"Active";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Henrietta Ol&#039; Henries"
22;"Sea Breeze Indians";;"sea-breeze-indians";"Indians";;;"0000-00-00";"Sea Breeze";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/22-sea-breeze-indians";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Sea Breeze Indians"
23;"North Greece Lil Squirts";;"north-greece-lil-squirts";"Lil Squirts";;;"0000-00-00";"North Greece";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/23-north-greece-lil-squirts";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=North Greece Lil Squirts"
24;"Spencerport Red Onions";;"spencerport-red-onions";"Red Onions";;;"0000-00-00";"Spencerport";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/24-spencerport-red-onions";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Spencerport Red Onions"
25;"Lindenhurst Snails";;"lindenhurst-snails";"Snails";;;"0000-00-00";"Lindenhurst";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/25-lindenhurst-snails";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Lindenhurst Snails"
26;"Hagerman Gamblers";;"hagerman-gamblers";"Gamblers";;;"0000-00-00";"Hagerman";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/26-hagerman-gamblers";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Hagerman Gamblers"
27;"West Sayville Flying Dutchmen";;"west-sayville-flying-dutchmen";"Flying Dutchmen";;;"0000-00-00";"West Sayville";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/27-west-sayville-flying-dutchmen";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=West Sayville Flying Dutchmen"
28;"East Farmingdale Hares";;"east-farmingdale-hares";"Hares";;;"0000-00-00";"East Farmingdale";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/28-east-farmingdale-hares";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=East Farmingdale Hares"
29;"Bay Shore Redskins";;"bay-shore-redskins";"Redskins";;;"0000-00-00";"Bay Shore";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/29-bay-shore-redskins";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Bay Shore Redskins"
30;"Islip Wolves";;"islip-wolves";"Wolves";;;"0000-00-00";"Islip";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/30-islip-wolves";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Islip Wolves"
31;"Riverhead Ironmen";;"riverhead-ironmen";"Ironmen";;;"0000-00-00";"Riverhead";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/31-riverhead-ironmen";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Riverhead Ironmen"
32;"Copiague Yellowbirds";;"copiague-yellowbirds";"Yellowbirds";;;"0000-00-00";"Copiague";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/32-copiague-yellowbirds";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Copiague Yellowbirds"
33;"Selden Slowpokes";;"selden-slowpokes";"Slowpokes";;;"0000-00-00";"Selden";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/33-selden-slowpokes";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Selden Slowpokes"
34;"Sayville Blue Jays";;"sayville-blue-jays";"Blue Jays";;;"0000-00-00";"Sayville";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/34-sayville-blue-jays";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Sayville Blue Jays"
35;"Cutchogue Panthers";;"cutchogue-panthers";"Panthers";;;"0000-00-00";"Cutchogue";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_74221303ee4f316c5961a89f.gif";"../index.php/dm-list/individual/35-cutchogue-panthers";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Cutchogue Panthers"
36;"Brentwood Tigers";;"brentwood-tigers";"Tigers";;;"0000-00-00";"Brentwood";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/36-brentwood-tigers";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Brentwood Tigers"
37;"Farmingville Bandits";;"farmingville-bandits";"Bandits";;;"0000-00-00";"Farmingville";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/37-farmingville-bandits";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Farmingville Bandits"
38;"Merrick Buckeyes";;"merrick-buckeyes";"Buckeyes";;;"0000-00-00";"Merrick";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/38-merrick-buckeyes";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Merrick Buckeyes"
39;"Carthage Nighthawks";;"carthage-nighthawks";"Nighthawks";;;"0000-00-00";"Carthage";"3";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"5";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/39-carthage-nighthawks";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Carthage Nighthawks"
40;"West Islip Raiders";;"west-islip-raiders";"Raiders";;;"0000-00-00";"West Islip";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/40-west-islip-raiders";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=West Islip Raiders"
41;"East Islip Guzzlers";;"east-islip-guzzlers";"Guzzlers";;;"0000-00-00";"East Islip";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/41-east-islip-guzzlers";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=East Islip Guzzlers"
42;"Clayton Calumets";;"clayton-calumets";"Calumets";;;"0000-00-00";"Clayton";"3";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"5";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/42-clayton-calumets";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Clayton Calumets"
43;"West Carthage Hornets";;"west-carthage-hornets";"Hornets";;;"0000-00-00";"West Carthage";"3";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"5";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/43-west-carthage-hornets";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=West Carthage Hornets"
44;"Great Bend Cobras";;"great-bend-cobras";"Cobras";;;"0000-00-00";"Great Bend";"3";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"5";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/44-great-bend-cobras";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Great Bend Cobras"
45;"Elsmere Wanderers";;"elsmere-wanderers";"Wanderers";;;"0000-00-00";"Elsmere";"3";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"5";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/45-elsmere-wanderers";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Elsmere Wanderers"
46;"Plainview Plainsmen";;"plainview-plainsmen";"Plainsmen";;;"0000-00-00";"Plainview";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/46-plainview-plainsmen";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Plainview Plainsmen"
47;"Seaford Inmates";;"seaford-inmates";"Inmates";;;"0000-00-00";"Seaford";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/47-seaford-inmates";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Seaford Inmates"
48;"Jericho Bachelors";;"jericho-bachelors";"Bachelors";;;"0000-00-00";"Jericho";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/48-jericho-bachelors";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Jericho Bachelors"
49;"Freeport Dead End Kids";;"freeport-dead-end-kids";"Dead End Kids";;;"0000-00-00";"Freeport";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/49-freeport-dead-end-kids";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Freeport Dead End Kids"
50;"Bellmore Ballbreakers";;"bellmore-ballbreakers";"Ballbreakers";;;"0000-00-00";"Bellmore";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/50-bellmore-ballbreakers";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Bellmore Ballbreakers"
51;"Sea Cliff Indians";;"sea-cliff-indians";"Indians";;;"0000-00-00";"Sea Cliff";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/51-sea-cliff-indians";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Sea Cliff Indians"
52;"Point Lookout Smokin Seagulls";;"point-lookout-smokin-seagulls";"Smokin Seagulls";;;"0000-00-00";"Point Lookout";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/52-point-lookout-smokin-seagulls";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Point Lookout Smokin Seagulls"
53;"Locust Valley Chiefs";;"locust-valley-chiefs";"Chiefs";;;"0000-00-00";"Locust Valley";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/53-locust-valley-chiefs";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Locust Valley Chiefs"
54;"Amityville Villains";;"amityville-villains";"Villains";;;"0000-00-00";"Amityville";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/54-amityville-villains";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Amityville Villains"
55;"Freeport Nighthawks";;"freeport-nighthawks";"Nighthawks";;;"0000-00-00";"Freeport";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/55-freeport-nighthawks";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Freeport Nighthawks"
56;"Miller Place Extinguishers";;"miller-place-extinguishers";"Extinguishers";;;"0000-00-00";"Miller Place";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/56-miller-place-extinguishers";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Miller Place Extinguishers"
57;"Babylon Scroungers";;"babylon-scroungers";"Scroungers";;;"0000-00-00";"Babylon";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/57-babylon-scroungers";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Babylon Scroungers"
58;"East Rockaway Cold Ducks";;"east-rockaway-cold-ducks";"Cold Ducks";;;"0000-00-00";"East Rockaway";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/58-east-rockaway-cold-ducks";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=East Rockaway Cold Ducks"
59;"Bayville Oak Neckers";;"bayville-oak-neckers";"Oak Neckers";;;"0000-00-00";"Bayville";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/59-bayville-oak-neckers";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Bayville Oak Neckers"
60;"Medford Stump Jumpers";;"medford-stump-jumpers";"Stump Jumpers";;;"0000-00-00";"Medford";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/60-medford-mavericks";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Medford Mavericks"
61;"Islip Terrace Schlagers";;"islip-terrace-schlagers";"Schlagers";;;"0000-00-00";"Islip Terrace";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/61-islip-terrace-schlagers";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Islip Terrace Schlagers"
62;"Selden Jr. Slow Pokes";;"selden-jr-slow-pokes";"Jr. Slow Pokes";;;"0000-00-00";"Selden";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"6";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/62-selden-jr-slow-pokes";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Selden Jr. Slow Pokes"
63;"Medford Jr. Mavericks";;"medford-jr-mavericks";"Jr. Mavericks";;;"0000-00-00";"Medford";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"6";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/63-medford-jr-mavericks";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Medford Jr. Mavericks"
64;"Albertson Slo Pokes";;"albertson-slo-pokes";"Slo Pokes";;;"0000-00-00";"Albertson";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/64-albertson-slo-pokes";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Albertson Slo Pokes"
65;"Albion Fire Flies";;"albion-fire-flies";"Fire Flies";;;"0000-00-00";"Albion";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/65-albion-fire-flies";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Albion Fire Flies"
66;"Alexandria Bay Wild Geese";;"alexandria-bay-wild-geese";"Wild Geese";;;"0000-00-00";"Alexandria Bay";"3";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"5";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/66-alexandria-bay-wild-geese";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Alexandria Bay Wild Geese"
67;"Barnard Rascals";;"barnard-rascals";"Rascals";;;"0000-00-00";"Barnard";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/67-barnard-rascals";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Barnard Rascals"
68;"Bay Shore Jr. Redskins";;"bay-shore-jr-redskins";"Jr. Redskins";;;"0000-00-00";"Bay Shore";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"6";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/68-bay-shore-jr-redskins";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Bay Shore Jr. Redskins"
69;"Bayport Red Devils";;"bayport-red-devils";"Red Devils";;;"0000-00-00";"Bayport";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/69-bayport-red-devils";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Bayport Red Devils"
70;"Black River Owls";;"black-river-owls";"Owls";;;"0000-00-00";"Black River";"3";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"5";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/70-black-river-owls";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Black River Owls"
